,Event,Duration,Start Time,End Time,Start Epoch,End Epoch
113,NREM,30,01:25:00.000,01:25:30.000,986,987
114,NREM,30,01:25:30.000,01:26:00.000,987,988
115,NREM,30,01:26:00.000,01:26:30.000,988,989
116,NREM,30,01:26:30.000,01:27:00.000,989,990
117,NREM,30,01:27:00.000,01:27:30.000,990,991
118,NREM,30,01:27:30.000,01:28:00.000,991,992
119,NREM,30,01:28:00.000,01:28:30.000,992,993
120,NREM,30,01:28:30.000,01:29:00.000,993,994
121,NREM,30,01:29:00.000,01:29:30.000,994,995
122,NREM,30,01:29:30.000,01:30:00.000,995,996
123,NREM,30,01:30:00.000,01:30:30.000,996,997
124,NREM,30,01:30:30.000,01:31:00.000,997,998
125,NREM,30,01:31:00.000,01:31:30.000,998,999
126,NREM,30,01:31:30.000,01:32:00.000,999,1000
127,NREM,30,01:32:00.000,01:32:30.000,1000,1001
128,NREM,30,01:32:30.000,01:33:00.000,1001,1002
129,NREM,30,01:33:00.000,01:33:30.000,1002,1003
130,NREM,30,01:33:30.000,01:34:00.000,1003,1004
131,NREM,30,01:34:00.000,01:34:30.000,1004,1005
132,NREM,30,01:34:30.000,01:35:00.000,1005,1006
133,NREM,30,01:35:00.000,01:35:30.000,1006,1007
134,NREM,30,01:35:30.000,01:36:00.000,1007,1008
135,NREM,30,01:36:00.000,01:36:30.000,1008,1009
136,NREM,30,01:36:30.000,01:37:00.000,1009,1010
137,NREM,30,01:37:00.000,01:37:30.000,1010,1011
138,NREM,30,01:37:30.000,01:38:00.000,1011,1012
139,NREM,30,01:38:00.000,01:38:30.000,1012,1013
140,NREM,30,01:38:30.000,01:39:00.000,1013,1014
141,NREM,30,01:39:00.000,01:39:30.000,1014,1015
142,NREM,30,01:39:30.000,01:40:00.000,1015,1016
143,NREM,30,01:40:00.000,01:40:30.000,1016,1017
144,NREM,30,01:40:30.000,01:41:00.000,1017,1018
145,NREM,30,01:41:00.000,01:41:30.000,1018,1019
146,NREM,30,01:41:30.000,01:42:00.000,1019,1020
