Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
LM,3.4,39:39.4,39:42.8,1135,1135,
REM,30,40:00.0,40:30.0,1136,1137,
Desat,23.333,40:10.4,40:33.8,1136,1137,
REM,30,40:30.0,41:00.0,1137,1138,
REM,30,41:00.0,41:30.0,1138,1139,
REM,30,41:30.0,42:00.0,1139,1140,
Desat,15.333,41:48.4,42:03.8,1139,1140,
REM,30,42:00.0,42:30.0,1140,1141,
REM,30,42:30.0,43:00.0,1141,1142,
REM,30,43:00.0,43:30.0,1142,1143,
REM,30,43:30.0,44:00.0,1143,1144,
REM,30,44:00.0,44:30.0,1144,1145,
REM,30,44:30.0,45:00.0,1145,1146,
LM,0.734,44:34.1,44:34.8,1145,1145,
REM,30,45:00.0,45:30.0,1146,1147,
REM,30,45:30.0,46:00.0,1147,1148,
REM,30,46:00.0,46:30.0,1148,1149,
REM,30,46:30.0,47:00.0,1149,1150,
Movement,1.15,46:39.1,46:40.3,1149,1149,
LM,3.11,46:39.9,46:43.0,1149,1149,
Desat,35.332,46:59.1,47:34.4,1149,1151,
REM,30,47:00.0,47:30.0,1150,1151,
REM,30,47:30.0,48:00.0,1151,1152,
LM,2.27,47:48.4,47:50.7,1151,1151,
LM,2.04,47:49.3,47:51.4,1151,1151,
REM,30,48:00.0,48:30.0,1152,1153,
Desat,33.666,48:16.4,48:50.1,1152,1153,
REM,30,48:30.0,49:00.0,1153,1154,
REM,30,49:00.0,49:30.0,1154,1155,
REM,30,49:30.0,50:00.0,1155,1156,
REM,30,50:00.0,50:30.0,1156,1157,
REM,30,50:30.0,51:00.0,1157,1158,
Desat,16.666,50:54.4,51:11.1,1157,1158,
REM,30,51:00.0,51:30.0,1158,1159,
Movement,3,51:07.1,51:10.1,1158,1158,
LM,2.055,51:08.8,51:10.8,1158,1158,
LM,2.155,51:09.3,51:11.5,1158,1158,
Desat,19.999,51:29.4,51:49.4,1158,1159,
REM,30,51:30.0,52:00.0,1159,1160,
REM,30,52:00.0,52:30.0,1160,1161,
REM,30,52:30.0,53:00.0,1161,1162,
REM,30,53:00.0,53:30.0,1162,1163,
Desat,38.333,53:00.4,53:38.8,1162,1163,
REM,30,53:30.0,54:00.0,1163,1164,
REM,30,54:00.0,54:30.0,1164,1165,
Desat,22.999,54:08.1,54:31.1,1164,1165,
REM,30,54:30.0,55:00.0,1165,1166,
REM,30,55:00.0,55:30.0,1166,1167,
Movement,2.75,55:05.3,55:08.1,1166,1166,
LM,3.156,55:06.5,55:09.6,1166,1166,
REM,30,55:30.0,56:00.0,1167,1168,
Desat,29.332,55:31.8,56:01.1,1167,1168,
REM,30,56:00.0,56:30.0,1168,1169,
Wake,30,56:30.0,57:00.0,1169,1170,
Movement,10.549,56:41.7,56:52.3,1169,1169,
REM,30,57:00.0,57:30.0,1170,1171,
LM,3.095,57:07.0,57:10.1,1170,1170,
PLM,72.446,57:07.0,58:19.4,1170,1172,
Desat,43.417,57:08.1,57:51.5,1170,1171,
LM,0.895,57:08.8,57:09.7,1170,1170,
LM,2.465,57:16.0,57:18.4,1170,1170,
LM,3.5,57:27.3,57:30.8,1170,1171,
REM,30,57:30.0,58:00.0,1171,1172,
REM,30,58:00.0,58:30.0,1172,1173,
LM,1.19,58:17.5,58:18.6,1172,1172,
LM,1.79,58:17.6,58:19.4,1172,1172,
N2,30,58:30.0,59:00.0,1173,1174,
N2,30,59:00.0,59:30.0,1174,1175,
N2,30,59:30.0,00:00.0,1175,1176,
N2,30,00:00.0,00:30.0,1176,1177,
N2,30,00:30.0,01:00.0,1177,1178,
N2,30,01:00.0,01:30.0,1178,1179,
N2,30,01:30.0,02:00.0,1179,1180,
Wake,30,02:00.0,02:30.0,1180,1181,
LM,2.86,02:11.4,02:14.2,1180,1180,
LM,1.38,02:12.0,02:13.4,1180,1180,
Movement,55.747,02:13.7,03:09.4,1180,1182,
N2,30,02:30.0,03:00.0,1181,1182,
Desat,20.333,02:40.1,03:00.4,1181,1182,
LM,3.009,02:52.3,02:55.3,1181,1181,
LM,2.52,02:52.4,02:54.9,1181,1181,
N1,30,03:00.0,03:30.0,1182,1183,
LM,0.823,03:07.5,03:08.3,1182,1182,
N2,30,03:30.0,04:00.0,1183,1184,
N2,30,04:00.0,04:30.0,1184,1185,
N2,30,04:30.0,05:00.0,1185,1186,
N2,30,05:00.0,05:30.0,1186,1187,
N2,30,05:30.0,06:00.0,1187,1188,
N2,30,06:00.0,06:30.0,1188,1189,
N2,30,06:30.0,07:00.0,1189,1190,
N2,30,07:00.0,07:30.0,1190,1191,
N2,30,07:30.0,08:00.0,1191,1192,
N2,30,08:00.0,08:30.0,1192,1193,
N3,30,08:30.0,09:00.0,1193,1194,
N3,30,09:00.0,09:30.0,1194,1195,
N3,30,09:30.0,10:00.0,1195,1196,
N3,30,10:00.0,10:30.0,1196,1197,
N3,30,10:30.0,11:00.0,1197,1198,
N3,30,11:00.0,11:30.0,1198,1199,
N3,30,11:30.0,12:00.0,1199,1200,
N3,30,12:00.0,12:30.0,1200,1201,
N3,30,12:30.0,13:00.0,1201,1202,
N3,30,13:00.0,13:30.0,1202,1203,
N3,30,13:30.0,14:00.0,1203,1204,
N3,30,14:00.0,14:30.0,1204,1205,
N3,30,14:30.0,15:00.0,1205,1206,
N3,30,15:00.0,15:30.0,1206,1207,
N3,30,15:30.0,16:00.0,1207,1208,
N3,30,16:00.0,16:30.0,1208,1209,
N3,30,16:30.0,17:00.0,1209,1210,
N3,30,17:00.0,17:30.0,1210,1211,
N3,30,17:30.0,18:00.0,1211,1212,
N3,30,18:00.0,18:30.0,1212,1213,
N3,30,18:30.0,19:00.0,1213,1214,
N3,30,19:00.0,19:30.0,1214,1215,
N3,30,19:30.0,20:00.0,1215,1216,
N3,30,20:00.0,20:30.0,1216,1217,
N3,30,20:30.0,21:00.0,1217,1218,
N3,30,21:00.0,21:30.0,1218,1219,
N3,30,21:30.0,22:00.0,1219,1220,
N3,30,22:00.0,22:30.0,1220,1221,
N3,30,22:30.0,23:00.0,1221,1222,
N3,30,23:00.0,23:30.0,1222,1223,
N3,30,23:30.0,24:00.0,1223,1224,
N3,30,24:00.0,24:30.0,1224,1225,
N3,30,24:30.0,25:00.0,1225,1226,
N3,30,25:00.0,25:30.0,1226,1227,
N3,30,25:30.0,26:00.0,1227,1228,
N3,30,26:00.0,26:30.0,1228,1229,
N3,30,26:30.0,27:00.0,1229,1230,
N3,30,27:00.0,27:30.0,1230,1231,
N3,30,27:30.0,28:00.0,1231,1232,
N3,30,28:00.0,28:30.0,1232,1233,
N3,30,28:30.0,29:00.0,1233,1234,
N3,30,29:00.0,29:30.0,1234,1235,
N3,30,29:30.0,30:00.0,1235,1236,
N3,30,30:00.0,30:30.0,1236,1237,
N3,30,30:30.0,31:00.0,1237,1238,
N3,30,31:00.0,31:30.0,1238,1239,
N3,30,31:30.0,32:00.0,1239,1240,
N3,30,32:00.0,32:30.0,1240,1241,
N3,30,32:30.0,33:00.0,1241,1242,
N3,30,33:00.0,33:30.0,1242,1243,
N3,30,33:30.0,34:00.0,1243,1244,
N3,30,34:00.0,34:30.0,1244,1245,
N3,30,34:30.0,35:00.0,1245,1246,
N3,30,35:00.0,35:30.0,1246,1247,
N3,30,35:30.0,36:00.0,1247,1248,
N3,30,36:00.0,36:30.0,1248,1249,
N3,30,36:30.0,37:00.0,1249,1250,
N3,30,37:00.0,37:30.0,1250,1251,
N3,30,37:30.0,38:00.0,1251,1252,
N3,30,38:00.0,38:30.0,1252,1253,
N3,30,38:30.0,39:00.0,1253,1254,
N3,30,39:00.0,39:30.0,1254,1255,
N3,30,39:30.0,40:00.0,1255,1256,
N3,30,40:00.0,40:30.0,1256,1257,
N3,30,40:30.0,41:00.0,1257,1258,
N3,30,41:00.0,41:30.0,1258,1259,
N3,30,41:30.0,42:00.0,1259,1260,
N3,30,42:00.0,42:30.0,1260,1261,
N3,30,42:30.0,43:00.0,1261,1262,
N3,30,43:00.0,43:30.0,1262,1263,
N3,30,43:30.0,44:00.0,1263,1264,
N3,30,44:00.0,44:30.0,1264,1265,
LM,1.255,44:18.1,44:19.4,1264,1264,
N3,30,44:30.0,45:00.0,1265,1266,
N3,30,45:00.0,45:30.0,1266,1267,
N3,30,45:30.0,46:00.0,1267,1268,
N3,30,46:00.0,46:30.0,1268,1269,
N3,30,46:30.0,47:00.0,1269,1270,
N3,30,47:00.0,47:30.0,1270,1271,
N3,30,47:30.0,48:00.0,1271,1272,
N3,30,48:00.0,48:30.0,1272,1273,
N3,30,48:30.0,49:00.0,1273,1274,
N3,30,49:00.0,49:30.0,1274,1275,
N3,30,49:30.0,50:00.0,1275,1276,
N3,30,50:00.0,50:30.0,1276,1277,
N3,30,50:30.0,51:00.0,1277,1278,
N3,30,51:00.0,51:30.0,1278,1279,
N3,30,51:30.0,52:00.0,1279,1280,
N3,30,52:00.0,52:30.0,1280,1281,
N3,30,52:30.0,53:00.0,1281,1282,
N3,30,53:00.0,53:30.0,1282,1283,
N3,30,53:30.0,54:00.0,1283,1284,
N3,30,54:00.0,54:30.0,1284,1285,
N3,30,54:30.0,55:00.0,1285,1286,
N3,30,55:00.0,55:30.0,1286,1287,
N3,30,55:30.0,56:00.0,1287,1288,
N3,30,56:00.0,56:30.0,1288,1289,
N3,30,56:30.0,57:00.0,1289,1290,
N3,30,57:00.0,57:30.0,1290,1291,
N3,30,57:30.0,58:00.0,1291,1292,
N3,30,58:00.0,58:30.0,1292,1293,
Wake,30,58:30.0,59:00.0,1293,1294,
Movement,23.349,58:39.2,59:02.6,1293,1294,
N3,30,59:00.0,59:30.0,1294,1295,
N3,30,59:30.0,00:00.0,1295,1296,
N3,30,00:00.0,00:30.0,1296,1297,
N3,30,00:30.0,01:00.0,1297,1298,
N3,30,01:00.0,01:30.0,1298,1299,
N3,30,01:30.0,02:00.0,1299,1300,
N3,30,02:00.0,02:30.0,1300,1301,
N3,30,02:30.0,03:00.0,1301,1302,
N3,30,03:00.0,03:30.0,1302,1303,
N3,30,03:30.0,04:00.0,1303,1304,
N3,30,04:00.0,04:30.0,1304,1305,
N3,30,04:30.0,05:00.0,1305,1306,
N3,30,05:00.0,05:30.0,1306,1307,
N3,30,05:30.0,06:00.0,1307,1308,
N3,30,06:00.0,06:30.0,1308,1309,
N2,30,06:30.0,07:00.0,1309,1310,
Wake,30,07:00.0,07:30.0,1310,1311,
Movement,12.299,07:03.8,07:16.1,1310,1310,
N2,30,07:30.0,08:00.0,1311,1312,
REM,30,08:00.0,08:30.0,1312,1313,
REM,30,08:30.0,09:00.0,1313,1314,
REM,30,09:00.0,09:30.0,1314,1315,
REM,30,09:30.0,10:00.0,1315,1316,
Wake,30,10:00.0,10:30.0,1316,1317,
Movement,18.399,10:01.5,10:19.9,1316,1316,
LM,2.195,10:10.9,10:13.1,1316,1316,
N1,30,10:30.0,11:00.0,1317,1318,
N2,30,11:00.0,11:30.0,1318,1319,
Desat,19,11:17.0,11:36.0,1318,1319,
Movement,1.95,11:25.2,11:27.1,1318,1318,
REM,30,11:30.0,12:00.0,1319,1320,
REM,30,12:00.0,12:30.0,1320,1321,
REM,30,12:30.0,13:00.0,1321,1322,
Movement,2.299,12:57.1,12:59.4,1321,1321,
REM,30,13:00.0,13:30.0,1322,1323,
REM,30,13:30.0,14:00.0,1323,1324,
REM,30,14:00.0,14:30.0,1324,1325,
A. Obstructive,18.272,14:21.0,14:39.2,1324,1325,
REM,30,14:30.0,15:00.0,1325,1326,
Desat,20,14:42.4,15:02.4,1325,1326,
REM,30,15:00.0,15:30.0,1326,1327,
Desat,32.666,15:13.7,15:46.4,1326,1327,
REM,30,15:30.0,16:00.0,1327,1328,
REM,30,16:00.0,16:30.0,1328,1329,
LM,0.94,16:20.9,16:21.8,1328,1328,
REM,30,16:30.0,17:00.0,1329,1330,
REM,30,17:00.0,17:30.0,1330,1331,
Movement,32.698,17:10.3,17:43.0,1330,1331,
LM,1.145,17:12.1,17:13.3,1330,1330,
REM,30,17:30.0,18:00.0,1331,1332,
LM,7.205,17:35.9,17:43.1,1331,1331,
REM,30,18:00.0,18:30.0,1332,1333,
REM,30,18:30.0,19:00.0,1333,1334,
REM,30,19:00.0,19:30.0,1334,1335,
REM,30,19:30.0,20:00.0,1335,1336,
REM,30,20:00.0,20:30.0,1336,1337,
REM,30,20:30.0,21:00.0,1337,1338,
REM,30,21:00.0,21:30.0,1338,1339,
REM,30,21:30.0,22:00.0,1339,1340,
Movement,29.098,21:41.5,22:10.6,1339,1340,
REM,30,22:00.0,22:30.0,1340,1341,
LM,4.884,22:06.9,22:11.8,1340,1340,
LM,2.349,22:08.6,22:10.9,1340,1340,
REM,30,22:30.0,23:00.0,1341,1342,
REM,30,23:00.0,23:30.0,1342,1343,
REM,30,23:30.0,24:00.0,1343,1344,
LM,9.332,23:44.0,23:53.3,1343,1343,
Movement,9.349,23:44.8,23:54.2,1343,1343,
REM,30,24:00.0,24:30.0,1344,1345,
REM,30,24:30.0,25:00.0,1345,1346,
REM,30,25:00.0,25:30.0,1346,1347,
REM,30,25:30.0,26:00.0,1347,1348,
REM,30,26:00.0,26:30.0,1348,1349,
REM,30,26:30.0,27:00.0,1349,1350,
REM,30,27:00.0,27:30.0,1350,1351,
REM,30,27:30.0,28:00.0,1351,1352,
REM,30,28:00.0,28:30.0,1352,1353,
REM,30,28:30.0,29:00.0,1353,1354,
Movement,12.249,28:32.1,28:44.4,1353,1353,
LM,2.174,28:32.5,28:34.6,1353,1353,
REM,30,29:00.0,29:30.0,1354,1355,
Desat,35.665,29:02.0,29:37.7,1354,1355,
REM,30,29:30.0,30:00.0,1355,1356,
REM,30,30:00.0,30:30.0,1356,1357,
REM,30,30:30.0,31:00.0,1357,1358,
Movement,4.45,30:30.5,30:35.0,1357,1357,
LM,0.635,30:30.6,30:31.2,1357,1357,
REM,30,31:00.0,31:30.0,1358,1359,
Desat,17.31,31:08.0,31:25.3,1358,1358,
Wake,30,31:30.0,32:00.0,1359,1360,
LM,2.69,31:42.8,31:45.5,1359,1359,
REM,30,32:00.0,32:30.0,1360,1361,
REM,30,32:30.0,33:00.0,1361,1362,
REM,30,33:00.0,33:30.0,1362,1363,
REM,30,33:30.0,34:00.0,1363,1364,
REM,30,34:00.0,34:30.0,1364,1365,
REM,30,34:30.0,35:00.0,1365,1366,
REM,30,35:00.0,35:30.0,1366,1367,
Movement,2.2,35:02.6,35:04.8,1366,1366,
LM,1.715,35:03.6,35:05.3,1366,1366,
REM,30,35:30.0,36:00.0,1367,1368,
REM,30,36:00.0,36:30.0,1368,1369,
REM,30,36:30.0,37:00.0,1369,1370,
REM,30,37:00.0,37:30.0,1370,1371,
REM,30,37:30.0,38:00.0,1371,1372,
REM,30,38:00.0,38:30.0,1372,1373,
Movement,1.3,38:03.5,38:04.8,1372,1372,
LM,1,38:04.9,38:05.9,1372,1372,
REM,30,38:30.0,39:00.0,1373,1374,
REM,30,39:00.0,39:30.0,1374,1375,
Movement,5.15,39:13.4,39:18.5,1374,1374,
LM,2.83,39:15.1,39:18.0,1374,1374,
LM,2.93,39:15.9,39:18.8,1374,1374,
N2,30,39:30.0,40:00.0,1375,1376,
N2,30,40:00.0,40:30.0,1376,1377,
N2,30,40:30.0,41:00.0,1377,1378,
Wake,30,41:00.0,41:30.0,1378,1379,
LM,2.47,41:08.6,41:11.1,1378,1378,
Movement,37.848,41:08.7,41:46.6,1378,1379,
N2,30,41:30.0,42:00.0,1379,1380,
N2,30,42:00.0,42:30.0,1380,1381,
N2,30,42:30.0,43:00.0,1381,1382,
N2,30,43:00.0,43:30.0,1382,1383,
N2,30,43:30.0,44:00.0,1383,1384,
N2,30,44:00.0,44:30.0,1384,1385,
N2,30,44:30.0,45:00.0,1385,1386,
N2,30,45:00.0,45:30.0,1386,1387,
LM,5.477,45:25.1,45:30.5,1386,1387,
Movement,4.05,45:25.7,45:29.7,1386,1386,
N2,30,45:30.0,46:00.0,1387,1388,
N2,30,46:00.0,46:30.0,1388,1389,
N2,30,46:30.0,47:00.0,1389,1390,
N2,30,47:00.0,47:30.0,1390,1391,
Movement,4.6,47:16.3,47:20.9,1390,1390,
LM,2.155,47:18.8,47:21.0,1390,1390,
LM,3.055,47:19.2,47:22.3,1390,1390,
N2,30,47:30.0,48:00.0,1391,1392,
N2,30,48:00.0,48:30.0,1392,1393,
LM,1.105,48:24.3,48:25.4,1392,1392,
LM,0.97,48:24.6,48:25.6,1392,1392,
N2,30,48:30.0,49:00.0,1393,1394,
Desat,22.333,48:59.7,49:22.0,1393,1394,
N2,30,49:00.0,49:30.0,1394,1395,
N2,30,49:30.0,50:00.0,1395,1396,
N2,30,50:00.0,50:30.0,1396,1397,
N2,30,50:30.0,51:00.0,1397,1398,
N2,30,51:00.0,51:30.0,1398,1399,
N2,30,51:30.0,52:00.0,1399,1400,
LM,1.1,51:31.6,51:32.7,1399,1399,
N2,30,52:00.0,52:30.0,1400,1401,
N2,30,52:30.0,53:00.0,1401,1402,
REM,30,53:00.0,53:30.0,1402,1403,
Wake,30,53:30.0,54:00.0,1403,1404,
Movement,19.848,53:32.7,53:52.5,1403,1403,
LM,1.849,53:33.0,53:34.9,1403,1403,
N1,30,54:00.0,54:30.0,1404,1405,
N2,30,54:30.0,55:00.0,1405,1406,
N2,30,55:00.0,55:30.0,1406,1407,
N2,30,55:30.0,56:00.0,1407,1408,
N2,30,56:00.0,56:30.0,1408,1409,
N2,30,56:30.0,57:00.0,1409,1410,
N2,30,57:00.0,57:30.0,1410,1411,
N2,30,57:30.0,58:00.0,1411,1412,
N2,30,58:00.0,58:30.0,1412,1413,
N2,30,58:30.0,59:00.0,1413,1414,
N2,30,59:00.0,59:30.0,1414,1415,
N2,30,59:30.0,00:00.0,1415,1416,
N2,30,00:00.0,00:30.0,1416,1417,
N2,30,00:30.0,01:00.0,1417,1418,
N2,30,01:00.0,01:30.0,1418,1419,
N2,30,01:30.0,02:00.0,1419,1420,
N2,30,02:00.0,02:30.0,1420,1421,
N2,30,02:30.0,03:00.0,1421,1422,
N2,30,03:00.0,03:30.0,1422,1423,
N2,30,03:30.0,04:00.0,1423,1424,
N2,30,04:00.0,04:30.0,1424,1425,
N2,30,04:30.0,05:00.0,1425,1426,
N2,30,05:00.0,05:30.0,1426,1427,
N2,30,05:30.0,06:00.0,1427,1428,
N2,30,06:00.0,06:30.0,1428,1429,
N2,30,06:30.0,07:00.0,1429,1430,
N2,30,07:00.0,07:30.0,1430,1431,
N3,30,07:30.0,08:00.0,1431,1432,
N3,30,08:00.0,08:30.0,1432,1433,
N2,30,08:30.0,09:00.0,1433,1434,
N2,30,09:00.0,09:30.0,1434,1435,
N2,30,09:30.0,10:00.0,1435,1436,
N2,30,10:00.0,10:30.0,1436,1437,
N2,30,10:30.0,11:00.0,1437,1438,
N2,30,11:00.0,11:30.0,1438,1439,
N3,30,11:30.0,12:00.0,1439,1440,
N2,30,12:00.0,12:30.0,1440,1441,
N2,30,12:30.0,13:00.0,1441,1442,
N3,30,13:00.0,13:30.0,1442,1443,
N2,30,13:30.0,14:00.0,1443,1444,
N3,30,14:00.0,14:30.0,1444,1445,
N3,30,14:30.0,15:00.0,1445,1446,
N3,30,15:00.0,15:30.0,1446,1447,
N3,30,15:30.0,16:00.0,1447,1448,
N3,30,16:00.0,16:30.0,1448,1449,
N3,30,16:30.0,17:00.0,1449,1450,
N3,30,17:00.0,17:30.0,1450,1451,
N3,30,17:30.0,18:00.0,1451,1452,
N3,30,18:00.0,18:30.0,1452,1453,
N3,30,18:30.0,19:00.0,1453,1454,
N3,30,19:00.0,19:30.0,1454,1455,
N3,30,19:30.0,20:00.0,1455,1456,
N3,30,20:00.0,20:30.0,1456,1457,
N3,30,20:30.0,21:00.0,1457,1458,
N3,30,21:00.0,21:30.0,1458,1459,
N3,30,21:30.0,22:00.0,1459,1460,
N3,30,22:00.0,22:30.0,1460,1461,
N3,30,22:30.0,23:00.0,1461,1462,
N3,30,23:00.0,23:30.0,1462,1463,
N3,30,23:30.0,24:00.0,1463,1464,
N3,30,24:00.0,24:30.0,1464,1465,
N3,30,24:30.0,25:00.0,1465,1466,
N3,30,25:00.0,25:30.0,1466,1467,
N3,30,25:30.0,26:00.0,1467,1468,
N3,30,26:00.0,26:30.0,1468,1469,
N3,30,26:30.0,27:00.0,1469,1470,
N3,30,27:00.0,27:30.0,1470,1471,
N3,30,27:30.0,28:00.0,1471,1472,
N3,30,28:00.0,28:30.0,1472,1473,
N3,30,28:30.0,29:00.0,1473,1474,
N3,30,29:00.0,29:30.0,1474,1475,
N3,30,29:30.0,30:00.0,1475,1476,
N3,30,30:00.0,30:30.0,1476,1477,
N3,30,30:30.0,31:00.0,1477,1478,
N3,30,31:00.0,31:30.0,1478,1479,
N3,30,31:30.0,32:00.0,1479,1480,
Wake,30,32:00.0,32:30.0,1480,1481,
Movement,28.299,32:01.5,32:29.8,1480,1480,
Wake,30,32:30.0,33:00.0,1481,1482,
Wake,30,33:00.0,33:30.0,1482,1483,
Wake,30,33:30.0,34:00.0,1483,1484,
Movement,19.199,33:34.2,33:53.4,1483,1483,
Artifact,14.666,33:45.3,34:00.0,1483,1483,
Artifact,14.666,33:45.3,34:00.0,1483,1483,
N2,30,34:00.0,34:30.0,1484,1485,
N2,30,34:30.0,35:00.0,1485,1486,
N2,30,35:00.0,35:30.0,1486,1487,
N2,30,35:30.0,36:00.0,1487,1488,
N2,30,36:00.0,36:30.0,1488,1489,
N2,30,36:30.0,37:00.0,1489,1490,
N2,30,37:00.0,37:30.0,1490,1491,
N2,30,37:30.0,38:00.0,1491,1492,
N2,30,38:00.0,38:30.0,1492,1493,
N2,30,38:30.0,39:00.0,1493,1494,
N2,30,39:00.0,39:30.0,1494,1495,
N3,30,39:30.0,40:00.0,1495,1496,
N2,30,40:00.0,40:30.0,1496,1497,
N3,30,40:30.0,41:00.0,1497,1498,
N2,30,41:00.0,41:30.0,1498,1499,
N2,30,41:30.0,42:00.0,1499,1500,
N3,30,42:00.0,42:30.0,1500,1501,
N3,30,42:30.0,43:00.0,1501,1502,
N3,30,43:00.0,43:30.0,1502,1503,
LM,3.909,43:19.0,43:22.9,1502,1502,
Movement,1.299,43:20.3,43:21.6,1502,1502,
LM,6.329,43:20.4,43:26.7,1502,1502,
N3,30,43:30.0,44:00.0,1503,1504,
N3,30,44:00.0,44:30.0,1504,1505,
N3,30,44:30.0,45:00.0,1505,1506,
N3,30,45:00.0,45:30.0,1506,1507,
N3,30,45:30.0,46:00.0,1507,1508,
N2,30,46:00.0,46:30.0,1508,1509,
N2,30,46:30.0,47:00.0,1509,1510,
N2,30,47:00.0,47:30.0,1510,1511,
Movement,42.298,47:19.1,48:01.4,1510,1512,
N1,30,47:30.0,48:00.0,1511,1512,
Artifact,1.333,47:35.3,47:36.6,1511,1511,
Artifact,1.333,47:35.3,47:36.6,1511,1511,
LM,6.33,47:58.0,48:04.3,1511,1512,
N2,30,48:00.0,48:30.0,1512,1513,
N2,30,48:30.0,49:00.0,1513,1514,
N2,30,49:00.0,49:30.0,1514,1515,
Movement,2.1,49:13.6,49:15.7,1514,1514,
N2,30,49:30.0,50:00.0,1515,1516,
N2,30,50:00.0,50:30.0,1516,1517,
N2,30,50:30.0,51:00.0,1517,1518,
N2,30,51:00.0,51:30.0,1518,1519,
Movement,11.699,51:19.7,51:31.4,1518,1519,
N2,30,51:30.0,52:00.0,1519,1520,
Desat,15.333,51:52.0,52:07.3,1519,1520,
N2,30,52:00.0,52:30.0,1520,1521,
N2,30,52:30.0,53:00.0,1521,1522,
N2,30,53:00.0,53:30.0,1522,1523,
N2,30,53:30.0,54:00.0,1523,1524,
Movement,2.5,53:30.3,53:32.8,1523,1523,
LM,2.315,53:30.6,53:32.9,1523,1523,
REM,30,54:00.0,54:30.0,1524,1525,
A. Obstructive,13.83,54:02.7,54:16.6,1524,1524,
Movement,3.45,54:17.8,54:21.2,1524,1524,
LM,4.995,54:18.1,54:23.1,1524,1524,
N2,30,54:30.0,55:00.0,1525,1526,
LM,7.754,54:55.9,55:03.6,1525,1526,
Movement,25.448,54:56.6,55:22.0,1525,1526,
Wake,30,55:00.0,55:30.0,1526,1527,
N2,30,55:30.0,56:00.0,1527,1528,
N2,30,56:00.0,56:30.0,1528,1529,
Movement,18.199,56:18.5,56:36.7,1528,1529,
N2,30,56:30.0,57:00.0,1529,1530,
Desat,15.666,56:59.0,57:14.6,1529,1530,
N2,30,57:00.0,57:30.0,1530,1531,
REM,30,57:30.0,58:00.0,1531,1532,
REM,30,58:00.0,58:30.0,1532,1533,
LM,2.92,58:15.1,58:18.0,1532,1532,
REM,30,58:30.0,59:00.0,1533,1534,
REM,30,59:00.0,59:30.0,1534,1535,
REM,30,59:30.0,00:00.0,1535,1536,
LM,1.23,59:57.2,59:58.4,1535,1535,
LM,3.23,59:58.0,00:01.2,1535,1536,
REM,30,00:00.0,00:30.0,1536,1537,
REM,30,00:30.0,01:00.0,1537,1538,
Movement,1.35,00:31.9,00:33.2,1537,1537,
LM,3.574,00:32.0,00:35.5,1537,1537,
REM,30,01:00.0,01:30.0,1538,1539,
REM,30,01:30.0,02:00.0,1539,1540,
REM,30,02:00.0,02:30.0,1540,1541,
Desat,33,02:25.3,02:58.3,1540,1541,
REM,30,02:30.0,03:00.0,1541,1542,
LM,1.255,02:39.5,02:40.7,1541,1541,
REM,30,03:00.0,03:30.0,1542,1543,
REM,30,03:30.0,04:00.0,1543,1544,
LM,3.24,03:48.2,03:51.4,1543,1543,
REM,30,04:00.0,04:30.0,1544,1545,
Desat,40.665,04:16.6,04:57.3,1544,1545,
REM,30,04:30.0,05:00.0,1545,1546,
REM,30,05:00.0,05:30.0,1546,1547,
REM,30,05:30.0,06:00.0,1547,1548,
Movement,0.95,05:33.0,05:33.9,1547,1547,
Desat,56.332,05:54.6,06:51.0,1547,1549,
REM,30,06:00.0,06:30.0,1548,1549,
REM,30,06:30.0,07:00.0,1549,1550,
REM,30,07:00.0,07:30.0,1550,1551,
A. Obstructive,12.304,07:04.5,07:16.8,1550,1550,
REM,30,07:30.0,08:00.0,1551,1552,
LM,6.934,07:31.8,07:38.8,1551,1551,
PLM,134.706,07:31.8,09:46.5,1551,1555,
Movement,4.85,07:33.8,07:38.6,1551,1551,
LM,4.935,07:34.3,07:39.2,1551,1551,
REM,30,08:00.0,08:30.0,1552,1553,
LM,0.885,08:10.1,08:11.0,1552,1552,
REM,30,08:30.0,09:00.0,1553,1554,
LM,3.68,08:30.8,08:34.5,1553,1553,
LM,2.71,08:31.4,08:34.1,1553,1553,
REM,30,09:00.0,09:30.0,1554,1555,
REM,30,09:30.0,10:00.0,1555,1556,
LM,2.204,09:43.5,09:45.7,1555,1555,
LM,2.099,09:44.4,09:46.5,1555,1555,
REM,30,10:00.0,10:30.0,1556,1557,
REM,30,10:30.0,11:00.0,1557,1558,
Wake,30,11:00.0,11:30.0,1558,1559,
Movement,4.1,11:14.8,11:18.9,1558,1558,
REM,30,11:30.0,12:00.0,1559,1560,
REM,30,12:00.0,12:30.0,1560,1561,
A. Obstructive,10.257,12:08.9,12:19.2,1560,1560,
REM,30,12:30.0,13:00.0,1561,1562,
REM,30,13:00.0,13:30.0,1562,1563,
Movement,3.45,13:09.2,13:12.7,1562,1562,
LM,1.93,13:09.6,13:11.5,1562,1562,
REM,30,13:30.0,14:00.0,1563,1564,
REM,30,14:00.0,14:30.0,1564,1565,
REM,30,14:30.0,15:00.0,1565,1566,
REM,30,15:00.0,15:30.0,1566,1567,
REM,30,15:30.0,16:00.0,1567,1568,
REM,30,16:00.0,16:30.0,1568,1569,
REM,30,16:30.0,17:00.0,1569,1570,
Wake,30,17:00.0,17:30.0,1570,1571,
LM,4.165,17:02.4,17:06.6,1570,1570,
