Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
Wake,30,32:30.0,33:00.0,881,882,
Wake,30,33:00.0,33:30.0,882,883,
LM,0.8,33:15.6,33:16.4,882,882,
LM,3.604,33:17.4,33:21.0,882,882,
Wake,30,33:30.0,34:00.0,883,884,
Wake,30,34:00.0,34:30.0,884,885,
LM,0.6,34:02.0,34:02.6,884,884,
LM,0.715,34:02.0,34:02.7,884,884,
LM,1.535,34:03.9,34:05.5,884,884,
LM,2.8,34:06.6,34:09.4,884,884,
LM,1.024,34:10.0,34:11.0,884,884,
LM,1.79,34:20.5,34:22.3,884,884,
LM,3.755,34:21.2,34:25.0,884,884,
LM,2.545,34:24.2,34:26.7,884,884,
LM,0.804,34:26.3,34:27.1,884,884,
Wake,30,34:30.0,35:00.0,885,886,
LM,0.87,34:50.9,34:51.8,885,885,
Movement,115.943,34:59.5,36:55.4,885,889,
Wake,30,35:00.0,35:30.0,886,887,
Wake,30,35:30.0,36:00.0,887,888,
Snore Train,18.27,35:37.8,35:56.0,887,887,
Wake,30,36:00.0,36:30.0,888,889,
LM,1.975,36:11.8,36:13.8,888,888,
LM,0.52,36:15.0,36:15.5,888,888,
LM,0.855,36:16.7,36:17.5,888,888,
Wake,30,36:30.0,37:00.0,889,890,
LM,0.635,36:55.0,36:55.7,889,889,
LM,0.619,36:57.0,36:57.6,889,889,
Wake,30,37:00.0,37:30.0,890,891,
LM,1.705,37:00.4,37:02.1,890,890,
LM,0.57,37:22.7,37:23.2,890,890,
Wake,30,37:30.0,38:00.0,891,892,
LM,1.195,37:33.1,37:34.2,891,891,
LM,0.825,37:35.5,37:36.3,891,891,
LM,0.93,37:35.8,37:36.7,891,891,
Movement,17.499,37:35.8,37:53.3,891,891,
Wake,30,38:00.0,38:30.0,892,893,
Wake,30,38:30.0,39:00.0,893,894,
Wake,30,39:00.0,39:30.0,894,895,
Movement,18.999,39:01.7,39:20.7,894,894,
LM,0.72,39:18.8,39:19.5,894,894,
LM,6.379,39:23.8,39:30.2,894,895,
Wake,30,39:30.0,40:00.0,895,896,
LM,2.82,39:31.5,39:34.3,895,895,
Wake,30,40:00.0,40:30.0,896,897,
Wake,30,40:30.0,41:00.0,897,898,
LM,1.195,40:37.9,40:39.1,897,897,
LM,1.064,40:49.7,40:50.8,897,897,
Wake,30,41:00.0,41:30.0,898,899,
LM,1.835,41:07.6,41:09.5,898,898,
LM,0.5,41:12.0,41:12.5,898,898,
LM,2.03,41:13.6,41:15.6,898,898,
LM,0.61,41:16.8,41:17.4,898,898,
Wake,30,41:30.0,42:00.0,899,900,
Movement,17.449,41:38.0,41:55.4,899,899,
